col,idx,block,is_target_encoded,note
f0,0,base411_manual+w2v,False,
f1,1,base411_manual+w2v,False,
f2,2,base411_manual+w2v,False,
f3,3,base411_manual+w2v,False,
f4,4,base411_manual+w2v,False,
f5,5,base411_manual+w2v,False,
f6,6,base411_manual+w2v,False,
f7,7,base411_manual+w2v,False,
f8,8,base411_manual+w2v,False,
f9,9,base411_manual+w2v,False,
f10,10,base411_manual+w2v,False,
f11,11,base411_manual+w2v,False,
f12,12,base411_manual+w2v,False,
f13,13,base411_manual+w2v,False,
f14,14,base411_manual+w2v,False,
f15,15,base411_manual+w2v,False,
f16,16,base411_manual+w2v,False,
f17,17,base411_manual+w2v,False,
f18,18,base411_manual+w2v,False,
f19,19,base411_manual+w2v,False,
f20,20,base411_manual+w2v,False,
f21,21,base411_manual+w2v,False,
f22,22,base411_manual+w2v,False,
f23,23,base411_manual+w2v,False,
f24,24,base411_manual+w2v,False,
f25,25,base411_manual+w2v,False,
f26,26,base411_manual+w2v,False,
f27,27,base411_manual+w2v,False,
f28,28,base411_manual+w2v,False,
f29,29,base411_manual+w2v,False,
f30,30,base411_manual+w2v,False,
f31,31,base411_manual+w2v,False,
f32,32,base411_manual+w2v,False,
f33,33,base411_manual+w2v,False,
f34,34,base411_manual+w2v,False,
f35,35,base411_manual+w2v,False,
f36,36,base411_manual+w2v,False,
f37,37,base411_manual+w2v,False,
f38,38,base411_manual+w2v,False,
f39,39,base411_manual+w2v,False,
f40,40,base411_manual+w2v,False,
f41,41,base411_manual+w2v,False,
f42,42,base411_manual+w2v,False,
f43,43,base411_manual+w2v,False,
f44,44,base411_manual+w2v,False,
f45,45,base411_manual+w2v,False,
f46,46,base411_manual+w2v,False,
f47,47,base411_manual+w2v,False,
f48,48,base411_manual+w2v,False,
f49,49,base411_manual+w2v,False,
f50,50,base411_manual+w2v,False,
f51,51,base411_manual+w2v,False,
f52,52,base411_manual+w2v,False,
f53,53,base411_manual+w2v,False,
f54,54,base411_manual+w2v,False,
f55,55,base411_manual+w2v,False,
f56,56,base411_manual+w2v,False,
f57,57,base411_manual+w2v,False,
f58,58,base411_manual+w2v,False,
f59,59,base411_manual+w2v,False,
f60,60,base411_manual+w2v,False,
f61,61,base411_manual+w2v,False,
f62,62,base411_manual+w2v,False,
f63,63,base411_manual+w2v,False,
f64,64,base411_manual+w2v,False,
f65,65,base411_manual+w2v,False,
f66,66,base411_manual+w2v,False,
f67,67,base411_manual+w2v,False,
f68,68,base411_manual+w2v,False,
f69,69,base411_manual+w2v,False,
f70,70,base411_manual+w2v,False,
