custid,fold,gender
0,3,1
1,1,1
2,0,1
3,0,0
4,0,0
5,3,1
6,2,1
7,2,0
8,4,0
9,3,0
10,0,0
11,4,1
12,3,1
13,1,0
14,4,0
15,1,0
16,0,1
17,2,0
18,1,0
19,1,0
20,4,1
21,3,0
22,4,1
23,3,0
24,3,1
25,2,0
26,2,0
27,0,0
28,1,0
29,3,0
30,1,1
31,2,1
32,2,0
33,3,1
34,0,1
35,2,1
36,3,0
37,3,1
38,0,1
39,2,1
40,2,0
41,1,1
42,4,0
43,2,0
44,4,0
45,1,0
46,1,0
47,2,0
48,1,0
49,3,0
50,1,0
51,4,0
52,2,1
53,1,1
54,2,0
55,3,0
56,4,1
57,1,0
58,1,0
59,3,1
60,2,0
61,2,1
62,2,0
63,1,1
64,0,1
65,1,0
66,3,0
67,4,0
68,0,0
69,2,0
70,1,0
71,0,0
72,4,0
73,3,0
74,0,1
75,0,0
76,4,0
77,1,0
78,4,1
79,2,0
80,2,0
81,1,0
82,3,0
83,0,0
84,0,1
85,0,0
86,3,0
87,2,0
88,2,1
89,3,0
90,4,0
91,1,0
92,4,0
93,2,1
94,0,1
95,0,1
96,0,0
97,1,0
98,1,1
99,0,0
100,3,0
101,0,1
102,2,0
103,4,0
104,3,0
105,2,1
106,0,1
107,4,1
108,1,1
109,2,0
110,1,0
111,0,0
112,3,0
113,0,0
114,4,0
115,1,0
116,1,0
117,2,0
118,3,0
119,2,0
120,1,1
121,2,0
122,1,0
123,0,1
124,4,0
125,3,0
126,0,0
127,0,0
128,3,1
129,3,1
130,1,0
131,0,0
132,2,1
133,1,0
134,0,0
135,3,1
136,4,1
137,3,0
138,2,0
139,4,0
140,3,0
141,0,0
142,0,0
143,4,0
144,0,0
145,0,1
146,0,0
147,2,0
148,4,1
149,0,1
150,2,0
151,3,1
152,0,0
153,3,0
154,2,0
155,3,1
156,4,1
157,4,0
158,3,1
159,2,0
160,1,0
161,3,0
162,2,0
163,2,0
164,2,0
165,4,0
166,1,0
167,4,0
168,4,0
169,2,0
170,3,1
171,0,0
172,0,0
173,3,0
174,0,0
175,1,1
176,0,0
177,2,0
178,4,0
179,2,0
180,0,1
181,2,0
182,3,0
183,4,0
184,3,1
185,2,1
186,1,0
187,2,0
188,0,0
189,2,1
190,1,0
191,4,0
192,0,0
193,1,1
194,0,0
195,4,0
196,3,1
197,0,1
198,1,0
199,1,0
200,3,0
201,4,0
202,2,1
203,2,0
204,1,0
205,3,0
206,0,1
207,4,0
208,0,0
209,1,0
210,4,0
211,2,1
212,4,0
213,3,0
214,3,1
215,2,1
216,3,1
217,2,0
218,1,1
219,3,0
220,2,0
221,3,0
222,4,1
223,1,0
224,4,1
225,0,0
226,4,0
227,0,1
228,3,0
229,4,0
230,1,1
231,2,0
232,2,0
233,3,1
234,3,1
235,4,0
236,1,1
237,2,0
238,3,0
239,1,0
240,2,0
241,2,1
242,2,0
243,0,0
244,0,0
245,1,0
246,1,1
247,0,0
248,4,0
249,4,1
250,1,1
251,4,0
252,3,1
253,4,1
254,0,0
255,1,1
256,1,0
257,3,0
258,4,1
259,1,0
260,1,1
261,3,0
262,4,0
263,4,1
264,4,1
265,0,0
266,4,0
267,3,0
268,1,0
269,2,1
270,1,0
271,3,1
272,4,0
273,3,0
274,3,0
275,1,0
276,3,0
277,1,0
278,4,1
279,0,0
280,1,0
281,3,0
282,0,0
283,4,0
284,3,0
285,0,0
286,3,0
287,0,0
288,3,0
289,2,1
290,3,0
291,2,1
292,3,1
293,3,1
294,2,1
295,1,0
296,0,0
297,3,0
298,1,1
299,1,1
300,1,0
301,3,0
302,2,1
303,3,0
304,2,0
305,2,0
306,3,1
307,3,0
308,1,0
309,0,1
310,4,0
311,3,0
312,0,1
313,3,0
314,1,0
315,1,1
316,2,0
317,2,0
318,4,0
319,4,0
320,0,0
321,3,1
322,0,1
323,1,0
324,2,0
325,3,0
326,1,1
327,3,0
328,4,1
329,4,0
330,2,0
331,3,0
332,3,0
333,4,1
334,3,0
335,0,0
336,0,1
337,1,1
338,1,1
339,0,0
340,3,0
341,3,1
342,2,0
343,0,1
344,3,1
345,0,0
346,4,0
347,2,0
348,4,0
349,0,1
350,4,0
351,0,0
352,3,1
353,4,1
354,1,0
355,3,0
356,2,1
357,2,1
358,1,0
359,2,0
360,0,0
361,1,1
362,0,1
363,0,0
364,0,1
365,4,0
366,4,0
367,4,0
368,2,0
369,2,0
370,0,0
371,3,0
372,0,0
373,4,0
374,4,0
375,3,0
376,0,0
377,3,1
378,4,0
379,1,0
380,0,0
381,0,1
382,4,0
383,4,1
384,3,1
385,3,0
386,2,0
387,2,0
388,1,1
389,4,0
390,0,0
391,0,0
392,3,0
393,2,1
394,0,0
395,3,0
396,0,0
397,3,1
398,1,0
399,0,1
400,0,0
401,0,1
402,4,1
403,2,0
404,2,0
405,3,0
406,1,0
407,2,0
408,3,1
409,3,0
410,1,0
411,4,0
412,1,1
413,3,0
414,1,1
415,0,0
416,0,0
417,4,0
418,4,0
419,2,1
420,0,1
421,1,1
422,4,0
423,0,0
424,1,1
425,4,0
426,3,0
427,4,0
428,4,0
429,1,0
430,4,0
431,3,0
432,3,0
433,0,0
434,0,0
435,0,1
436,0,0
437,0,1
438,0,1
439,4,1
440,4,0
441,1,1
442,2,1
443,4,1
444,4,0
445,3,0
446,1,0
447,0,0
448,4,0
449,2,0
450,2,1
451,4,1
452,1,0
453,1,1
454,2,0
455,4,1
456,3,0
457,3,0
458,3,1
459,4,1
460,4,1
461,0,0
462,2,0
463,0,0
464,2,0
465,4,0
466,3,0
467,2,0
468,1,0
469,2,1
470,3,0
471,4,1
472,0,1
473,4,0
474,0,1
475,4,0
476,2,0
477,1,0
478,4,1
479,4,0
480,4,0
481,3,0
482,4,0
483,3,1
484,3,0
485,3,0
486,2,1
487,0,0
488,1,0
489,0,0
490,1,0
491,0,0
492,2,0
493,0,0
494,1,0
495,0,1
496,0,1
497,1,1
498,1,1
499,1,0
500,3,0
501,1,1
502,2,0
503,0,0
504,1,0
505,4,0
506,1,1
507,2,0
508,1,0
509,1,1
510,0,0
511,1,0
512,4,1
513,2,1
514,1,0
515,4,0
516,0,1
517,3,0
518,2,0
519,3,0
520,1,0
521,3,0
522,0,0
523,1,1
524,3,0
525,2,1
526,0,0
527,3,1
528,1,0
529,4,1
530,4,0
531,2,0
532,3,0
533,0,0
534,0,0
535,0,1
536,1,1
537,0,1
538,4,0
539,0,0
540,2,1
541,3,1
542,1,0
